#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>Check it out! The Path Placement icon is ON! You can use the stylus to place paths! How cool is that?	<1>歩道設置アイコン、今ＯＮになってるね。\nタッチペンで歩道が書ける状態だよ！	
0	1	MA_LEGAL_RAIL	<1>The Queue Placement icon is ON. Sweet! To place queues, use the stylus!	<1>整列歩道設置アイコン、今ＯＮになってるね。\nタッチペンで整列歩道が書ける状態だよ！	
0	2	MA_LEGAL_MONO	<1>Check it out! The Monorail Placement icon is ON. You can use the stylus to place monorail tracks! How cool is that?	<1>モノレールアイコン、今ＯＮになってるね。\nタッチペンでモノレールコースが\n書ける状態だよ！	
0	3	MA_LOOP_LEGAL	<1>The Roller Coaster Placement icon is ON. Sweet! To place roller coaster courses, use the stylus!	<1>ジェットコースターアイコン、\n今ＯＮになってるね。\nタッチペンでコースが書ける状態だよ。	
0	4	MA_COASTER_HELP	<1>Change the height of tracks by first tapping their bases, then the up or down icon in the lower right corner of the screen.	<1>レール設置時、\n根元をタッチした後、画面右下のアイコンで、\nレールの高さを自由に変更できるよ。	
0	5	MA_LEGAL_ROLER	<1>Check it out! The Roller Coaster icon is ON. You can use the stylus to place roller coaster courses. How cool is that?<P>Change the height of tracks by first tapping their bases, then the arrows in the lower right corner of the screen.	<1>レールアイコン、今ＯＮになってるね。\nレールが書ける状態だよ。<P>レール設置時、根元をタッチした後、\n画面右下のアイコンで、\nレールの高さを自由に変更できるよ。	
0	6	MA_TRACK_LEGAL	<1>The Go-Kart Placement icon is ON. Sweet! To place go-kart courses, use the stylus! They cost %s.	<1>ゴーカートアイコン、今ＯＮになってるね。\n%sのコストで\nタッチペンでコースが書ける状態だよ！	
0	7	MA_LEGAL_RIVER	<1>Check it out! The Water Slide Placement icon is ON. You can use the stylus to place water slides. How cool is that? They cost %s	<1>ウォータースライダーアイコン、\n今ＯＮになってるね。%sのコストで\nタッチペンでコースが書ける状態だよ！	
0	8	MA_PLACE_ONEWAY	<1>Hey! Time to place a one-way traffic sign. Pick a location, then tap the screen to place your sign.<P>You can change the direction your sign points by tapping it once it's been placed.	<1>一方通行を案内する標識を設置するよ。\n設置場所を指定後、\nタッチペンでタッチしてみて。	
0	9	MA_PLACE_ONWAY_DIR	<1>Change the direction your sign points by tapping it. It'll change direction every time you do it. Every time!	<1>次に進行方向を指定だね。\n設置場所を再度タッチしてみて。\n方向が変更されるよ。	
0	10	MA_PLACE_ONEWAY_CONFIRM	<1>When you've got it pointing in the direction you want, tap the OK icon.	<1>方向、これで問題ないよね？\n問題なければ、ＯＫアイコンをタッチして。	
0	11	MA_PLACE_SIGN_POST	<1>Hey! Time to place Sign Posts for the rides. Go ahead and use the stylus to select a ride.	<1>案内標識を設置するよ。最初に案内したい\nアトラクション、ショップ、又は正面ゲートを\nタッチしてみて。	
0	12	MA_PLACE_SIGN_DIR	<1>Nice! Now tap the spot you want to put a Sign Post.	<1>次に案内標識の設置だね。\n標識の設置場所をタッチしてみて。<P>設置した案内標識は、\n同じ所をタッチすれば\n向きを変更できるからね。	
0	13	MA_PLACE_SIGN_CONFIRM	<1>Wrap this up by setting which way the Sign Post should point, then tap the OK icon.	<1>最後、案内標識の向きを指定すれば準備完了！\n方向を指定した後、ＯＫアイコンをタッチして。	
0	14	MA_PLACE_RIDE	<1>OK! Let's place this attraction. Pick a spot, then tap the OK icon.	<1>アトラクションを設置だね。\nじゃあ場所を指定後ＯＫアイコンをタッチして。	
0	15	MA_PLACE_RIDE_ENTRANCE	<1>So where's the entrance for this attraction gonna be? Choose a spot, then tap the OK icon.	<1>次にアトラクションの入口を設置しよ。\n場所を指定後、ＯＫアイコンをタッチして。	
0	16	MA_PLACE_RIDE_EXIT	<1>Time to pick an exit location. Choose a spot, then tap the OK icon to finish.	<1>最後に出口の設置だねー。\n場所を指定後、ＯＫアイコンをタッチしてみて。	
0	17	MA_PLACE_SHOP	<1>OK! Let's place this shop. Pick a spot, then tap the OK icon.	<1>ショップを設置するんだね。\n場所を指定後、ＯＫアイコンをタッチしてみて。	
0	18	MA_PLACE_SCENERY	<1>All right! Let's place this piece of scenery. Pick a spot by tapping it with the stylus.	<1>設備を設置するんだね。\n設置したい場所をタッチペンでタッチしてみて。	
0	19	MA_PLACE_STAFF	<1>OK! Let's place this employee. Pick a spot by tapping it with the stylus.	<1>スタッフさんを配置するんだね。\n配置したい場所をタッチペンでタッチしてみて。	
0	20	MA_DELETE_PAID_RIDE	This attraction cost %s.\nDo you really want to demolish it?	このアトラクションには\n%sの費用がかかっているよ。\n撤去…しちゃうの？	
0	21	MA_DELETE_UNPAID_RIDE	Are you sure you want to delete this?\nSince it has not been in your park for at least a month, it won't cost you anything.	設置して１ヶ月以内だから、\n撤去の費用はかからないみたい…	
0	22	MA_DELETE_PAID_SHOP	This shop cost %s.\nDo you really want to demolish it?	このショップには\n%sの\n費用がかかっているよ。\n撤去…しちゃうの？	
